comment	rate
Greenlights is a remarkable first book from an already renowned artist.  Kind of a mashup of Anthony Bourdain with Ernest Hemingway, McConaughey tells stories with the aplomb of accomplished raconteur. Part memoir, part life guide and part ethic Greenlights is worth reading for many beyond McConaughey’s fan base; basically anyone who likes a good man’s man adventure story.	4.0 out of 5 stars
Worst book ever written.  The only redeeming value here is that it gives you a glimpse into the mind of a Narcissist.  The writing is, at best, at a Middle School level and the depth of content is yet another level below that.  It’s so shallow that it’s laughable.  Green light is a testament to the craziness our times - that we celebrate complete airheads like MM.  The degree of arrogance and total lack of self-awareness by the Writer/Subject would be shocking if it wasn’t so amusing.  If there is any order in this universe, 100’s of years from now someone will pick this book out of landfill and,after reading the first few pages, be absolutely convinced they have stumbled across one of the greatest parodies ever written about the 21st century.	1.0 out of 5 stars
Amazing book, clever and funny. Not your typical memoir, by design. As a huge fan, I enjoyed it very much. Also just got the audiobook because he narrates it and I wanna give it another round listening to him. If you like him, you’re sure to love it.	5.0 out of 5 stars
Already received and enjoying it immensely. Beautifully written with candor, humor and reflective insight. A great read.	5.0 out of 5 stars
Excellent book !! Matthew is far more complex than I ever realized.  “  Y’all quit bitching about the dust jacket “  seriously cmon y’all	5.0 out of 5 stars
My book arrived in great shape, no damage, tears or nothing. My 14 year old son eyed it so I immediately gave it to him. He read 7 pages. The next day I thought I’d better take a look at it to make sure it was suitable for him. I’ll just say that I’m glad he didn’t get past page 7. Lol, I think I’ll give it back to him when he’s 17 years old or so. As I read more, on page 30 now, I think it’s a great book. Can’t wait to update my review when I’m done. Matthew McConaughey is my favorite man on earth. I love the cover of the book. I love the notes all over and the photographs. I recommend this book.	5.0 out of 5 stars
All races matter. We’ve all experienced discrimination. But, this statement takes the cake. Wow!	1.0 out of 5 stars
Question! Why is the dust cover at least an inch shorter than the book . Looks weird. Since it’s for a gift I’m concerned. And it’s a bit curled up at the edge.	1.0 out of 5 stars
I have always liked Matthew McConaughey’s dramatic roles and was anxious to read his book; even pre-ordered it.  In reading about his life, I found I much preferred the screen image more than the individual.  He may have “found” himself, but he lost me.	1.0 out of 5 stars
Absolutely amazing! I have no been able to put it down since I’ve opened the box.	5.0 out of 5 stars
The writing is entertaining, but the message is disturbing. Written by an abused, resilient, survivor who credits his abusers with his success. A better name would have been gaslight, because that's what he's done to himself to justify the horrors of his life. I'm sorry for the pain he went through, but this is not a playbook that anyone ought to follow.	2.0 out of 5 stars
As one who never engages in needless exaggerations, I can honestly say that this is absolutely the worst book  I have ever read.  The blank pages and clippings from scribbled diaries, the graphic regurgitation of scenes from his  egocentric life gave one the impression of the book having been written by a perverted eleven year old boy with no friends to play ball with.	1.0 out of 5 stars
I am a UT Alum and a big fan of Matthew McConaughey, but if you were expecting some thought provoking philosophical masterpiece or anything groundbreaking, you will be disappointed. You can read the whole book in an afternoon. I already gave my copy to a neighbor. (sigh)	2.0 out of 5 stars
It just delivered and unfortunately this is how it came. :weary_face: whyyy?!	1.0 out of 5 stars
He tells about a 100 foot high tree house built with stolen lumber. His brother hitting his father with 2 x 4 in the head twice. Talks about his mother and dad having a fight in the kitchen and finishs with "___" on the floor. Trip through Europe on three motorcycles where he says he rented three new hi end motorcycles for $400 each and the proprietor wanted $12,000. He says they wrecked one in Italy and the proprietor brought a new to them. The only good movie he ever made was MUD.	1.0 out of 5 stars
Disjointed thoughts. Pointless. I don’t get it.  Rambling. Ridiculous waste of time. I can’t find 8 more words to describe this nonsense. Just disappointed	1.0 out of 5 stars
I knew I needed to read this memoir. Didn’t know why though? But I think I do now. Just finished it. I didn’t grow up with a mentor. A baby needs it’s mother. A boy needs his father. I don’t blame my own for not being there. He was later in life... and that counts for a hell of a lot. Never felt comfortable around men growing up. Didn’t feel a part of the club. Had an incredibly strong mother though. She filled both roles best she could. Did a damn fine job considering. I found myself attaching to characters in films. Actors. They were the only teachers I could learn from that didn’t ask questions at the end of the lesson. I could be a silent student of how a man should conduct himself. I probably built my entire structure of self from a collage of characters in films circa 1983-2003. Of course I had NO IDEA who I was until I was 35. And let me tell you.... I didn’t like the guy that I “thought” I was. I was all the darkness and brood of all of my favorite lost, troubled characters with tiny remnants of light shining through the more redeeming, shiny honorable ones. Of course it would only make sense that I would need another actors book to lead me to the next ascension of my “manhood”.  He made it basic with his approach. I’m going to tell you this story. You’re going to read along. You’re either going to connect the dots and apply... or simply turn the page and move on. I realized that I seriously lack the hard work and conviction to truly climb my mountaintop. Let me tell you... I have some high peaks set for myself. With absolutely NO climbing experience. Want to soar through the clouds like a hawk but I’m scared of heights. Of course I’ve learned a few tricks along the way. I’ve lived a damn fine life by some standards. A calamitous train wreck by others. Earned my scars. Tattooed my place like only a beating chest man can. But deep down inside I still feel like a boy. A boy in a rudderless sailboat.  Seasick. Vertigoed. Virgo-ed. (See what I did there;) Back to the book. I read of a man that I had little interest in. Matthew McConaughey. Always seemed abit too cleancut for me. A bit too All-American. The quarterback. The outdoorsey, fisherman. Cool southern drawl with a laissez faire attitude. Crossbred with a stoned surfer So-Cal vibe. Nah, not for me. I like my actors to be a little rougher around the edges. Razor edges at that. Near death even. *im working on changing that appeal* But his work in True Detective especially perked my ears and eyes. Maybe there’s something more to this Hollywood cowboy. Speaking of Hollywood~ I lived there for  9 years and 8 months. I’m proud of that. Not so proud of my lack of productivity whilst living there but that’s another story for another time. Anyhow, the reason I write this is that I can’t say enough about “Greenlights”. I laughed, I cried, I thought a lot about my life and how it went all wrong. I mean... i don’t want anyone else’s life. I want my own. I just want to taste the sweet, cold mountain air of that damned peak I wish to summit. I just don’t have the tools yet. But I’m acquiring them. This year has been hell for many. But it’s been healing for me. I’ve let go of some serious flaws. Really worked on letting go of that boyish mindset. (While keeping some of the fun parts;) I guess the main truth that I took away from the read was that I have to be MY OWN HERO. The lead of MY MOVIE. Rooting for ME to conquer the mountain. Stop being a silent observer. Waiting for the perfect time. The time is NOW. J K LIVIN. Maybe for those of you that need the same thing in your lives.... That nudge in the right direction. This book can help put things into perspective. It’s written by a man who wants to help his fellow man. Yes, a man that’s lived an extraordinary life. But his story didn’t start out extraordinary. He MADE IT extraordinary. With a little help from some friends~ greenlights *one word*	5.0 out of 5 stars
I bought the kindle edition and read it in two days.  I wouldn't recommend this book unless you are really a fan.  Matthew was great in A Time to Kill and the Lincoln Lawyer but I liked him best in the romantic comedies.  I know that actors want to stretch their wings but he lost me at Dallas Buyers Club.  I am happy that he found the love of his life and is a family man, kind of unheard of in Hollywood.  I don't know why he had to share so much of his personal life...for me I was turned off by that.  Prepare for language and improper conduct but apparently he needed to share it.  I felt sorry for his upbringing by both parents..I'm surprised he survived it!!!  His faith in God is real and I applaud him for that.	2.0 out of 5 stars
Heard about the book on Gary Vees podcast Yesterday, place the order immediately after listening to the interview and received the book today. Got home from the office and four hours later I’m just now taking a break, I’m a little over halfway through the book and I’m forcing myself to pause and die just the first half. i’ve highlighted and tabbed and folded so many pages, wow. i’ve even pulled my 10 and 9 year old sons in to read a few things out loud. they have even asked a couple times “why are you laughing? why are you smiling”.	5.0 out of 5 stars
Very disappointed.  I guess I have watched his films which I enjoy and assumed things about the person.	1.0 out of 5 stars
I think Matthew should have allowed his ghost writer greater control in how the manuscript was developed. The book has a interesting spots,, but were overshadowed by the random, incoherent ramblings throughout.	3.0 out of 5 stars
(this review has nothing to do with the content of the book, since the book doesn’t download and isn’t even compatible with a kindle) idk what this is, whether it’s a scam or just a glitch, but this 6.99 version of his newly released book doesn’t download.	1.0 out of 5 stars
Matthew, LOVE you as an actor.  One of the best ever, buy you really missed the mark here with this book.  What was the point?  To expose your family?  Your love/hate relationship with them?  To show the world that in spite of them you succeeded?	1.0 out of 5 stars
I am not sure what I exp, ected, but I was so horribly disappointed.  I did not even finish the book, and I never  give up on one.  It just made me feel like I was reading about someone I would never want to meet, and whose life I did not find appealing or interesting in any way.	1.0 out of 5 stars
Did not expect the author to be so foul mouthed. Very disappointing.	1.0 out of 5 stars
Just finished this great read! Learned a few things along the way. #alrightalrightalright was unscripted and his FIRST words and movie, ever. What kinda gift is that!? Beautiful. Another quote that kind of stuck with me, "we were reminded that all lives couldn't matter until black lives matter more."	5.0 out of 5 stars
Im sorry not going to give this book a good review as much as i wanted to but not going to read a colorful adjective and cuss words on very first page returning it	1.0 out of 5 stars
Look I am surprised as you are. I saw Mathew had interviewed with Tim Ferris so I read the sample and then the entire book and I really liked it! Mathew is a wonderful story teller and his life is very interesting. But here’s why I think it is very good—he is a disciplined, authentic person with great values. I love how he listens to his dreams, keeps himself balanced by eating heads of lettuce and Ketchup at 18 when he is an exchange student in Australia simply to do something difficult so his head could get cleared and then goes on and does it the rest of his life! Not the eating head lettuce but listening to his dreams and going to the Amazon by himself and then Africa. He clears himself of Hollywood and overindulgence and too many romcoms. He creates himself ready for Dallas Buyers Club because he knows himself and he prepares and deeply knows his “man”. I didn’t care for most of his philosophizing and ersatz poetry but I loved the meat of the book very much. Greenlight to Mathew: he really is a loving guy, a smart guy, and a wonderful actor.	4.0 out of 5 stars
I had to return without reading, the kindle edition is illegible	1.0 out of 5 stars
Looks like a 2nds/surplus product ...not a full price First Edition.  Very disappointed...a purchase that I eagerly waited to receive.  The Amazon photo shows the gold 'book'....but leads you to believe it is a border of the dust jacket.  Found a picture of the book in the author's FB page, based on an interview in UK...and it depicts a full book size dust jacket.  Lends itself to sloppy work.  Low star rating for presentation...haven't read the book yet.  Disappointment overtook anticipation.	1.0 out of 5 stars
His book was more than all right all right all right!	5.0 out of 5 stars
This book has some bad language.  I think I would of enjoyed this book more if he had somone help him write it.	3.0 out of 5 stars
This is seriously the most AWFUL thing I have read. If I had to choose one word it would be rambling. I am sure it made sense to the writer and a few of his close friends but without that personal knowledge there are very few areas of clarity. Money wasted!	1.0 out of 5 stars
I love Matthew, always had a school girl crush on him so the book was interesting in the fact that I liked to learn things about his up bringing, but overall the book was poorly written and the cut outs of this journals were not really legible.  It was a tad hard to follow. I kept going back to re-read to see if I had missed something, I didn’t. It just simply wasn’t there.  He came off as very full of himself.  He certainly hasn’t had the struggles that most others have had. Looks like things have always just fallen in his lap.  Overall. I’d say the book was OK, but definitely not anywhere near great.  I saw this on someones review of the book and couldn’t agree more..... “The book has interesting spots,, but were overshadowed by the random, incoherent ramblings throughout.”	3.0 out of 5 stars
I liked the book because it kept me going till the end.  What I did not like was that I was offended by some of the book.  I am glad he learned values from his parents, because some of what they did I thought abusive, as he acknowledged in the book.  Some of his personal habits that he shared so freely were offensive.	3.0 out of 5 stars
This is a book you just can't put down.  I plowed through it at a speed you would normally think of with a trash novel, but it isn't.  It is brilliant, fun, unexpected, and a lot more.  There are nuggets of gold in the life lessons and the convictions he was raised upon. But, mostly it is just fun.  The poetry and bumperstickers just add to the whole experience.  I would highly recommend the audio version with the written.  I actually found myself going back and listening to sections I had already read just to hear him say it.  It is outstanding and honestly I wish it would have just kept going... Maybe another book.... green light	5.0 out of 5 stars
I have had a "mom crush" on Matthew McConaughey for a long time, so I was interested in reading this book.  It's essentially autobiographical, but he has a lot of his poetry mixed in.  Not a fan of that.	3.0 out of 5 stars
I have been reading Kindle Books for years.  First time this ever happened to me.  Book locked up at the 4% point and took several calls to Help Desk.  Had to archive and retrieve everything on the Kindle to continue reading. Happened a second time at the 45% point in the book.  Tech support told me the Kindle was old and probably needed to be replaced.  So I ordered a new Kindle and am awaiting delivery.  Existing Kindle works great for every other function.  Not sure why Greenlights is different.  Gave me 15% discount and $15 rebate toward my new one..  I still don't believe my existing Kindle is defective.  My name is Mike Kress and there is a ticket 80529820894 still open (I hope).	1.0 out of 5 stars
Pretty good book written by one of my favorite actors.  Great job and good insight regarding his path to stardom. Stay humble.	5.0 out of 5 stars
I like Mathew as an actor and a person. I believe we all could have written such a book except we are not Multi Millionaire movie stars. Expected a little more about people he worked with. He mention his Best Actor Award for Dallas Buyers Club but no mention about Jarred Leto winning Best Supporting Actor. At the end he mentioned George Floyd as a martyr but no mention as to what a criminal he really was like holding a loaded pistol to the belly of a former pregnant girl friend who had a restraining order against him for past assaults'.....why the mention in the first place. Was it really sincere or just a bone to through his lib friends in Hollywood. Is their no escape from politics?	3.0 out of 5 stars
Love me some McConaughey. This book is a fun read, I could easily hear Matthew reading it to me since his writing reflects his speech so clearly.	4.0 out of 5 stars
Like many others ... mine came with a ripped and very odd fitting dust cover. The cover doesn’t even fit the entire book.... I feel like I got a knock off.  Returning.	2.0 out of 5 stars
